frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1526,50.866667,1,764.45343,376.125269,669.56768,371.416544,717.010555,373.770906,2.771337,1.811984,-1.919473,2.16539,0.425932,1.988687
1527,50.9,1,764.873314,376.215155,669.562893,371.627129,717.218103,373.921142,2.772367,1.821163,-1.925282,2.30015,0.423543,2.060656
1528,50.933333,1,765.695896,376.728841,669.650288,371.936603,717.673092,374.332722,2.776746,1.843407,-1.936387,2.369915,0.420179,2.106661
1529,50.966667,1,765.82634,376.919214,670.21595,371.842822,718.021145,374.381018,2.771974,1.89101,-1.931525,2.485918,0.420225,2.188464
1530,51.0,1,766.49128,377.345814,670.526752,371.828156,718.509016,374.586985,2.7778,1.870388,-1.956661,2.392319,0.41057,2.131354
1891,63.033333,1,745.005646,391.34555,643.950768,387.064358,694.478207,389.204954,2.90497,2.301193,-1.817561,2.240853,0.543704,2.271023
1892,63.066667,1,743.772526,391.294727,642.765646,386.89613,693.269086,389.095429,2.923648,2.283941,-1.810121,2.202201,0.556764,2.243071
1893,63.1,1,742.044735,391.082919,640.921059,386.884629,691.482897,388.983774,2.916001,2.081762,-1.802338,2.086858,0.556832,2.08431
1894,63.133333,1,741.173878,391.029156,640.023327,386.786374,690.598602,388.907765,2.907947,2.241065,-1.79076,2.154949,0.558594,2.198007
1895,63.166667,1,740.098,390.903361,638.872566,386.944957,689.485283,388.924159,2.9179,2.093661,-1.773185,1.998484,0.572358,2.046072
1896,63.2,1,740.563126,390.852324,638.948011,386.881485,689.755569,388.866904,2.959106,2.026149,-1.773451,2.114019,0.592828,2.070084
1897,63.233333,1,741.325855,390.247529,639.860592,386.35088,690.593224,388.299204,2.94605,2.173526,-1.814803,2.085531,0.565623,2.129529
1898,63.266667,1,742.135334,389.655747,641.59152,384.956131,691.863427,387.305939,2.949367,2.221157,-1.819819,2.12729,0.564774,2.174224
1899,63.3,1,743.212299,388.64316,642.828217,383.837435,693.020258,386.240298,2.93021,2.485236,-1.777209,2.222029,0.576501,2.353633
1900,63.333333,1,744.275589,387.810388,644.123421,382.391435,694.199505,385.100911,2.901141,2.455853,-1.769041,2.09758,0.56605,2.276717
1901,63.366667,1,745.080261,386.582537,644.851971,380.984262,694.966116,383.783399,2.876809,2.438058,-1.805831,2.059517,0.535489,2.248787
1902,63.4,1,744.863682,385.168723,645.052729,379.738086,694.958205,382.453405,2.864853,2.206397,-1.800305,2.233281,0.532274,2.219839
1903,63.433333,1,745.004196,383.891069,644.949741,378.882848,694.976969,381.386958,2.880603,2.048237,-1.788329,2.19904,0.546137,2.123639
1904,63.466667,1,744.802303,382.848344,644.748154,377.789869,694.775229,380.319107,2.877133,2.024363,-1.797118,2.00094,0.540008,2.012652
1905,63.5,1,744.289188,382.057006,644.995327,377.541947,694.642258,379.799477,2.837676,1.838203,-1.807683,2.180945,0.514996,2.009574
1906,63.533333,1,744.942493,381.591793,645.592241,376.981848,695.267367,379.286821,2.863256,1.90449,-1.846575,2.148626,0.50834,2.026558
1907,63.566667,1,745.647106,381.618229,646.186008,376.888314,695.916557,379.253272,2.849797,1.947176,-1.859495,1.940142,0.495151,1.943659
1908,63.6,1,746.511517,382.329819,647.216482,376.878541,696.863999,379.60418,2.799781,2.123935,-1.856803,1.880553,0.471489,2.002244
1909,63.633333,1,747.0961,382.517703,647.604904,376.967633,697.350502,379.742668,2.80735,1.969096,-1.850995,1.938872,0.478177,1.953984
1910,63.666667,1,747.731285,382.842464,648.575802,376.797774,698.153543,379.820119,2.805711,2.072317,-1.836041,1.888571,0.484835,1.980444
1911,63.7,1,748.036537,382.915324,648.704834,377.244147,698.370686,380.079736,2.804051,1.978116,-1.820868,1.884054,0.491592,1.931085
1912,63.733333,1,748.845749,383.339177,649.673843,376.651905,699.259796,379.995541,2.787277,2.129528,-1.830664,1.926238,0.478307,2.027883
1913,63.766667,1,749.047565,383.390794,650.009975,376.643772,699.52877,380.017283,2.755206,2.171157,-1.845325,1.984543,0.45494,2.07785
1914,63.8,1,749.527893,383.862144,649.93021,376.810434,699.729052,380.336289,2.723299,2.07609,-1.842885,2.090755,0.440207,2.083422
1915,63.833333,1,749.761658,384.541783,650.21347,377.087635,699.987564,380.814709,2.731221,2.130333,-1.886255,2.230625,0.422483,2.180479
1916,63.866667,1,749.818764,384.954661,650.134907,377.629892,699.976835,381.292276,2.734804,2.262935,-1.939517,2.063941,0.397643,2.163438
1917,63.9,1,750.469208,385.204986,649.259033,378.928059,699.86412,382.066523,2.755648,2.268678,-1.91279,2.324356,0.421429,2.296517
1918,63.933333,1,751.304607,386.530223,650.664253,380.124593,700.98443,383.327408,2.747226,2.287589,-1.907188,2.711509,0.420019,2.499549
1919,63.966667,1,752.551937,387.848067,651.892452,380.890793,702.222195,384.36943,2.737203,2.20346,-1.940147,2.774522,0.398528,2.488991
1920,64.0,1,753.604946,388.188214,652.566071,380.991504,703.085508,384.589859,2.731179,2.332372,-1.991365,2.522899,0.369907,2.427636
1921,64.033333,1,754.135399,387.672715,653.249016,380.636519,703.692207,384.154617,2.746684,2.309638,-1.942325,2.591846,0.402179,2.450742
1922,64.066667,1,755.330772,387.852423,654.357109,380.470383,704.843941,384.161403,2.736439,2.629044,-1.895159,2.76774,0.42064,2.698392
1923,64.1,1,756.573849,388.054233,655.217342,380.454569,705.895596,384.254401,2.724051,2.517887,-1.878879,2.66748,0.422586,2.592683
1924,64.133333,1,757.459507,388.469836,656.666908,381.122042,707.063208,384.795939,2.693039,2.328434,-1.87824,2.938121,0.4074,2.633278
1925,64.166667,1,759.47897,389.875592,659.247704,382.472223,709.363337,386.173908,2.668859,2.529901,-1.883446,2.595269,0.392706,2.562585
1926,64.2,1,761.632023,391.237553,660.409412,383.183974,711.020718,387.210764,2.685492,2.367737,-1.882341,2.702701,0.401576,2.535219
1927,64.233333,1,762.952175,392.871931,662.341595,384.183977,712.646885,388.527954,2.666279,2.30896,-1.956936,2.528626,0.354671,2.418793
1928,64.266667,1,764.236164,393.266988,663.487034,384.401278,713.861599,388.834133,2.645079,2.310854,-1.967684,2.614302,0.338697,2.462578
1929,64.3,1,765.004482,392.709775,663.970699,384.441319,714.487591,388.575547,2.644301,2.357496,-1.945183,2.756229,0.349559,2.556862
1930,64.333333,1,765.520306,392.96245,664.418812,384.010931,714.969559,388.486691,2.667113,2.46218,-1.872178,2.72169,0.397468,2.591935
1931,64.366667,1,764.975071,392.688789,663.962402,383.637407,714.468737,388.163098,2.662842,2.519383,-1.888637,2.942771,0.387102,2.731077
1932,64.4,1,764.60371,392.342527,663.209171,383.467097,713.906441,387.904812,2.657438,2.540378,-1.888925,2.883271,0.384256,2.711824
1933,64.433333,1,763.339386,392.310405,662.081776,383.427347,712.710581,387.868876,2.688801,2.404053,-1.926389,2.765318,0.381206,2.584686
1934,64.466667,1,762.261848,392.502129,660.818596,383.662684,711.540222,388.082407,2.710918,2.441234,-1.912357,2.653596,0.39928,2.547415
1935,64.5,1,761.502132,392.367922,659.498844,384.032646,710.500488,388.200284,2.704584,2.306488,-1.910715,2.817482,0.396934,2.561985
1936,64.533333,1,760.634613,392.252769,658.189201,384.148754,709.411907,388.200762,2.723139,2.421503,-1.901744,2.799609,0.410698,2.610556
